# id|title|hint
fury|Pegar o amuleto Fúria dos Caídos|Na Passagem do Rei, antes de entrar em Dirtmouth, desça pela abertura com espinhos. Atravesse usando ataques para baixo nos espinhos e alcance o baú à direita.
dirtmouth|Ir para Dirtmouth|Volte ao caminho principal da Passagem do Rei, siga sempre à direita e atravesse o grande portão para chegar a Dirtmouth.
crossroads|Descer para a Encruzilhada Esquecida|Em Dirtmouth, caminhe à direita do banco e pule no poço aberto.
crossroads_map|Comprar o mapa com Cornifer|Do fundo do poço, desça e siga para a esquerda. Procure os papéis no chão e acompanhe o som de Cornifer.
grub_1|Salvar a primeira larva|Da sala de Cornifer, saia pela esquerda. Continue para a esquerda e procure a jarra de vidro da larva; quebre-a com o ferrão.
crossroads_station|Desbloquear a primeira estação|Volte para a sala central alta da Encruzilhada. Desça até a parte inferior e siga pela saída da esquerda até a Estação da Encruzilhada Esquecida; pague 50 Geo e toque o sino.
grub_2|Salvar a segunda larva|Saia da estação pela direita. Na sala seguinte, suba e ataque a parede falsa do lado esquerdo para alcançar a larva.
grub_3|Salvar a terceira larva|Saia da entrada do Pico de Cristal pela esquerda. Suba pela sala vertical e pegue a saída da direita; siga até encontrar a larva.
grub_4|Salvar a quarta larva|Retorne à sala ao lado da parede falsa da segunda larva. Entre pela passagem oposta, avance para a direita e depois desça até a larva.
gruz_mother|Derrotar a Mãe Mosca|Saia da sala da quarta larva e continue descendo. Entre na arena grande e derrote a Mãe Mosca.
sly|Salvar Sly|Após a Mãe Mosca, siga pela saída à direita e entre na pequena casa da vila abandonada. Fale com Sly até ele despertar.
false_knight|Derrotar o Falso Cavaleiro|Volte à Estação da Encruzilhada Esquecida. Na sala vertical à direita da estação, suba e siga à esquerda até a arena do Falso Cavaleiro.
vengeful_spirit|Pegar o Espírito Vingativo|Depois da luta, saia pela esquerda e siga o Xamã dos Caracóis até o Monte Ancestral. Complete o desafio e receba o feitiço.
soul_catcher|Pegar o Apanhador de Almas|No Monte Ancestral, derrote o Baldur Ancião usando o Espírito Vingativo. O amuleto está logo depois dele.
greenpath|Ir para o Caminho Verde|Use o Espírito Vingativo para abrir o caminho.
grub_5|Salvar a quinta larva|Continue pelo Caminho Verde até ver Hornet pela primeira vez. Na área seguinte, procure uma passagem secreta e quebre o cipó que bloqueia o caminho; depois desça e siga pela direita até a larva.
greenpath_map|Comprar o mapa do Caminho Verde|Volte ao caminho principal, procure os papéis espalhados pelo chão e siga o canto de Cornifer até o nicho onde ele vende o mapa.
hunters_journal|Pegar o Diário do Caçador|Da região da quinta larva, desça e siga para a direita até a cabana do Caçador. Entre e aceite o Diário do Caçador.
grub_6|Salvar a sexta larva|Saia da cabana do Caçador, volte para a esquerda e desça. Explore a parte inferior até alcançar a jarra da larva.
greenpath_bench|Sentar no banco (50 Geo)|Retorne ao caminho de Hornet e siga para oeste, subindo pelas plataformas. Pague 50 Geo para liberar o banco e sente-se.
zote|Salvar Zote|Continue subindo a oeste. Depois do Cavaleiro do Musgo, siga até ouvir Zote e derrote o Rei Vingança; em seguida, fale com Zote.
grub_7|Salvar a sétima larva|Continue pela parte superior do Caminho Verde. Derrote o Cavaleiro do Musgo que guarda a jarra e quebre-a para libertar a larva.
greenpath_station|Liberar a estação do Caminho Verde|Desça seguindo as placas com o símbolo do Último Besouro. Entre na estação, pague 140 Geo e toque o sino.
wanderers_journal|Pegar o Diário do Viajante|Saia da estação e retome o caminho para oeste em direção ao Lago de Unn. Vasculhe a passagem antes da arena de Hornet para encontrar o diário.
hornet|Derrotar Hornet e obter o dash|Derrote Hornet e colete o Manto de Asa de Mariposa.
c03_dirtmouth|Cap. 03 • Voltar a Dirtmouth|Retorne à Estação do Caminho Verde usando o dash e viaje de Último Besouro até Dirtmouth.
c03_compass|Cap. 03 • Comprar pena e bússola|Na loja de Iselda, compre a Pena e o amuleto Bússola Caprichosa. Se estiver sem mapas, priorize o Enxame de Colecionadores em Sly.
c03_grub6|Cap. 03 • Salvar a próxima larva|Ao descer pelo poço, siga pela esquerda até chegar à sala vertical e entre na sala abaixo à direita. Use o dash para alcançar a larva.
c03_wastes|Cap. 03 • Ir para os Ermos Fúngicos|Na parte inferior da Encruzilhada, atravesse o vão com dash e desça pelos corredores de cogumelos.
c03_ogres|Cap. 03 • Derrotar os Cogumelos|Desça até o fundo do primeiro poço e siga à esquerda. Derrote os dois cogumelos guerreiros para receber um encaixe de amuleto.
c03_map|Cap. 03 • Comprar o mapa dos Ermos|Passe pela Estação da Rainha e encontre Cornifer na passagem abaixo das piscinas de ácido.
c03_claw|Cap. 03 • Obter a Garra de Louva-a-Deus|Atravesse os cogumelos elásticos até a Vila dos Louva-a-Deus, acione a alavanca inferior e pegue a Garra na área superior.
c04_grub7|Cap. 04 • Salvar uma larva nos Ermos|Use a Garra para subir pelos túneis com cogumelos elásticos a caminho da Estação da Rainha.
c04_queen_station|Cap. 04 • Liberar a Estação da Rainha|Entre na plataforma inferior esquerda da Estação da Rainha, pague a passagem e chame o Último Besouro.
c04_lantern|Cap. 04 • Comprar a Lanterna|Viaje a Dirtmouth e compre de Sly a Lanterna de Lumélula por 1800 Geo; depois retorne à Estação da Rainha.
c04_grub8|Cap. 04 • Salvar larva sobre o ácido|Perto do atalho para a Vila dos Louva-a-Deus, atravesse o salão de ácido e cogumelos elásticos até a larva.
c04_spore|Cap. 04 • Pegar Cogumelo com Esporos|Abaixo da larva, cruze as piscinas de ácido e pegue o amuleto; abra a parede à esquerda para sair.
c04_deepnest_grub|Cap. 04 • Fazer uma visita curta ao Ninho Profundo|Caia pelo piso frágil, abrace a parede direita e liberte a larva verdadeira na sala dos imitadores.
c04_deepnest_map|Cap. 04 • Comprar o mapa do Ninho Profundo|Desça e siga à esquerda até ouvir Cornifer. Não se afaste da rota nesta visita inicial.
c04_city|Cap. 04 • Entrar na Cidade das Lágrimas|Retorne aos Ermos, siga o caminho de Hornet, atravesse os espinhos e use o Brasão da Cidade na grande estátua.
c04_nail1|Cap. 04 • Afiar o ferrão|Na parte baixa da cidade, encontre o Ferreiro à esquerda e compre a primeira melhoria por 250 Geo.
c04_lemm|Cap. 04 • Conhecer Lemm|Suba pelas plataformas centrais, abra o edifício à direita e venda os seus primeiros artefatos para Lemm.
c04_grub10|Cap. 04 • Salvar a larva da cidade|Suba pelos elevadores acima de Lemm e procure a sala lateral à direita.
c04_city_map|Cap. 04 • Comprar o mapa da Cidade|Abra o atalho até o banco da passarela elevada e compre o mapa com Cornifer.
c04_spell_twister|Cap. 04 • Pegar Distorcedor de Magias|No Santuário das Almas, procure a abertura escura no teto antes da arena principal.
c04_soul_master|Cap. 04 • Derrotar Mestre das Almas|Abra os atalhos do Santuário e avance pela porta esquerda do salão superior. Vencendo, receba Mergulho Desolador.
c04_grub11|Cap. 04 • Salvar larva no Santuário|Ao quebrar os pisos após o Mestre das Almas, pare na borda e procure a larva antes de cair ao fundo.
c04_storerooms|Cap. 04 • Liberar Armazéns da Cidade|Atravesse a passarela, pegue a Chave Simples e derrube o grande bloco para abrir a estação.
c05_salubra|Cap. 05 • Comprar encaixe com Salubra|Viaje à Encruzilhada, siga além da antiga arena da Mãe Mosca e compre o primeiro encaixe disponível.
c05_peak|Cap. 05 • Entrar no Pico de Cristal|Pegue o elevador acima de Myla e use Mergulho Desolador no chão instável para entrar nas minas.
c05_grub12|Cap. 05 • Salvar larva entre esteiras|Suba pelas esteiras verticais, atravesse os espinhos com dash e acione a alavanca após a larva.
c05_peak_map|Cap. 05 • Comprar o mapa do Pico|Suba pelos corredores de lasers até encontrar Cornifer.
c05_shop_key|Cap. 05 • Pegar a Chave do Lojista|Continue subindo pelo lado direito das minas e pegue a chave no topo do poço.
c05_heart|Cap. 05 • Obter Coração de Cristal|Atravesse o grande desafio de lasers no lado direito do Pico e examine o autômato quebrado.
c05_grubs|Cap. 05 • Salvar as larvas do Pico|Use o super dash para alcançar as larvas atrás do abismo, dos pistões e nas salas inferiores.
c05_dark|Cap. 05 • Obter Escuridão Descente|Atravesse a sala escura até o Monte Cristalizado, liberte o Xamã preso e melhore o mergulho.
c06_dream_nail|Cap. 06 • Obter o Ferrão dos Sonhos|Caia do Monte Cristalizado aos Campos de Descanso e complete a sequência do memorial.
c06_dreamshield|Cap. 06 • Pegar Escudo dos Sonhos|Explore a passagem abaixo da casa da Vidente antes de liberar a estação.
c06_station|Cap. 06 • Liberar Campos de Descanso|Atravesse o poço principal e acione a alavanca da estação.
c07_elegant|Cap. 07 • Comprar a Chave Elegante|Entregue a Chave do Lojista a Sly, compre a Chave Elegante e adquira o mapa dos Campos com Iselda.
c07_shade_soul|Cap. 07 • Obter Alma Sombria|Retorne ao Santuário das Almas, abra a porta elegante, derrote o Guerreiro das Almas e liberte o Xamã.
